Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Pulsar 150,5,Any one can ride with bajaj pulsar 150,2.Riding experience bajaj pulsar 150 is an excellent bike compare with other 150cc bikes I love this bike sound and performance and this is suitable sports bike with speed and mileage  and the pulsar bike look was amazing and stylish look i don't have own pulsar bike but i planned to purchase one bike,6 years ago,5,5,5,5,5,Everything,Never Owned,No Data,Never owned,No Tips,1,0
Bajaj Pulsar 150,5,Rocking bike,It's price was in my budget.. And i have riding very roughly riding and then after bike give very good performance  to me..  Looks is enough as sport bike..  Servicing is best  ...And good enough to ride on highway also..  At mountain climbing  also good enough to ride as ideal speed...  It's great to have this bike...,6 years ago,4,5,5,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Every 3500 km changed oil and make regular service..,1,0
Bajaj Pulsar 150,5,My lucky bike,"Hi,My brother had purchased this bike in 2005 as pulsar 150cc. Later he had been given to me in the year of 2013. As i had ride this bike to vijayawada and machilipatnam and my riding experience in this is good as but it given good comfort on pillion seat. As i had best performance on highway and in mileage its the best and service i had maintained it good and as i pros are speed and mileage is good as cons are too petrol tank is leaking and to damage piston.",6 years ago,5,5,5,5,5,Tours,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,4,Feel like god,"A superb bike i loved it,the riding quality is good and comfort also satisfied,digital display looks nice and some more new colours should be there,to increase the customers,without going back.Almost me and my friends using pulsar past 6 years,we used to go long drives on occasions it's wonderful i can't express,just close your eyes and go for it",6 years ago,4,3,3,3,4,Everything,> 15000 kms,15000+ kms,> 1 yr,Oil change every 2500km and tyre depends on your brand you are going to purchase,1,0
Bajaj Pulsar 150,5,Amazing,"Awesome, am loving it driving every single day. Good bike at a reasonable price. Thank you bajaj. Mileage is 45.Comfortable for two persons. Can carry 2-3 luggage easily. Over all a too good bike. All my family members are so happy. Taking it out every weekend with my friends. Too good bike",6 years ago,4,4,4,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,4,Better buy for first timers jack of all but not a master,"The pulsar of yester years is a must do. Snap out of the ""commute to work"" bike because  this is not a good bike for mileage. Don't know how they have given a 60+ kmpl. But i am not even getting a sound 40kmpl on it. I had bought the 2012 dts model with twin shades of red and black with striped back end. You don't get goosebumps as in previous colour coding but it is passable. The buying price was rs.78,432. For another 1990 i would have got a fz, but i settled for this one. So basically done the paper work. The showroom was full of other bikes in line. Say i could try a cruiser bike like avenger at rs.100000, but i was still sold on pulsar. Not about money though. The bike showed a marked disk brake than my previous hero honda bike. It had  the big fuel tank but it missed the look of previous versions.The riding was easy than other bikes because of accelerator design and implementation. The torque was not as good as starting model but it should be fine for amateurs. Go for 180 or 220cc if pickup and torque is your priority. The maintenance is pretty basic and i am not sure of more advanced modifications. The showroom service is best for more detailed breakdown of work and answers.This bike is going good for 3 years but with loss of pickup, chains sprocket and shocks.The fuel gauge is not accurate and digital speedometer is good. There has been nominal service cost of the bike with single hand maintenance. Braking is a good at a glance but can be improved. Drums seem to ware a lot.Pros: The brand name is sorted. Overall good and brawny look.Need minimum maintenance. Not bad for firm handling and no vibration.Dual tone colouring.Cons:Not a mileage favouring bike.Keeping quality less and less resale value.Spares parts are not in running. Mostly other parts are sold for the overhaul.Don't have sturdy tyres and grip of bigger bikes.Built is not metal frame of previous version but of light plastic.Colour coding is outdated.",6 years ago,4,3,3,3,4,Everything,> 15000 kms,15000+ kms,> 1 yr,Don't use the clutch as hard because it is easy transition gears and go on 2nd gear in traffic than on 1st for more mileage.,1,0
Bajaj Pulsar 150,5,Pulsar the king of road,I have purchased pulsar in 2008 and still is with me and loving to ride the bike. As still the bike has covered 10 years and doing well. Pro 1. Best in styling 2. Mileage is good in this range 3. Best in power 4. Having more premium features 5. Engine performance is good Cons:-1. There are engine vibration 2. Requires monthly service if used more than 5000 kms. 3. Engine can be improved Overall best bike in this range.,6 years ago,5,4,4,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Proud owner of pulsar 150,"The buying experience was easier, just paid cash and took bike instantly.The riding experience is very good with good pick up and handling. You can feel the bike while riding. Easy to overtake any bike of 150 or 160 cc segment.The only problem i felt is while shifting gears, sometimes it needs more force to shift and the gear shift sound can be listened loudly. Apart from that the bike is worth the price with low maintenance and a good mileage of 50+ in city and 60+ if you ride in 80 kmph and makes proud while riding. The throttle is very good between 0 to 60 kmph speed and aggressive.. Good in turns also with easy handling. I made 118 kmph as top speed in high way with 2 people on bike with very less vibrations. Service done once every 5000km and maintenance is very little(regular oil change for 5000km and maintaining correct tyre air pressure).Pros:Best bike in mileage in 150cc. Aggressive.Good handling and ground clearance.Cons:The style of the bike should be improved(looks old compared to new bikes of other company).The clutch and gear shift sometimes feels hard to shift.",6 years ago,4,5,4,4,5,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,No Tips,1,0
Bajaj Pulsar 150,5,Best Bike Under 90K,New BS4 variant feel more refined then before It's feel very smooth to ride or there is no any issues. It's give avg of 45-50 KMPL and top speed that i have reached is about 120 kmph and it go to 110 easily. It's heat a little  bit so i don't use the engine guard. My friend crashed the bike once but it is very durable machine.And the final word just go for it.,6 years ago,5,5,5,4,5,Everything,< 5000 kms,0-5000 kms,3-6 months,"when your bike is new please do not cross the speed limit of 65kmph until you reach 1000 km or more, use normal petrol in it.",1,0
Bajaj Pulsar 150,5,East or west pulsar is the best,Bike many company produced many types of bike but i love very much is the one an only pulsar no bike have the head like pulsar the structure. Of this bike is extraordinary super my family member.All are buy pulsar only my father bought. Pulsar in 2011 my. Two uncles bought pulsar now my another. Uncle buy pulsar to gift me now i ride upto 4000km i you want to buy bike don't think. Select. The right choice of pulsar say east or west pulsar is the best.,6 years ago,5,5,5,5,5,Daily Commute,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,1,0
Bajaj Pulsar 150,5,Personal experience,Awesome bike with great riding experience.Also a muscular and aggressive look with optimum mileage.Even the small lights on the toggles are the unique and make it more stylish than other bikes Also the good mileage and great riding comfort..Specially the non spilt seat for the domestic use and more comfortable for pillion riders.,6 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change bike Oil every 1500 km and clean the air filter regularly.,1,0
Bajaj Pulsar 150,4,Overall review about pulsar 150,Bajaj pulsar 150 motorcycle is a cost worth.I am a automobile engineering student i had a good experience in riding a pulsar 150. Pulsar 150 has spacious seat and gives more comfort even in triples. The engine sound of pulsar 150 was not much good at the speed of >80kmph. Pulsar 150 has less maintenance. Engine oil changing is more than enough for every 3000kms.,6 years ago,3,4,5,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Change engine oil every 3000kms, maintain pressure in tyres.",1,0
Bajaj Pulsar 150,5,One of best bike,I have been using this bike for more than 2 year and i have never faced any problem. Servicing and maintenance is also cheap. I have a wonderful riding experience.Looks is also good. I have it in red colour and it is fabulous. And in these 2 year i have never faced any problem starting the bike. It has self start and kick(useful during winters).,6 years ago,5,5,5,5,5,Everything,10000-15000 kms,5000-15000 kms,> 1 yr,Go for servicing every 3000km.,1,0
Bajaj Pulsar 150,4,Pulsar 150 review in my opinion,2. Riding experience It is very good to ride and it's  like a horse.Very good mileage and it's breaks are amazing .Who are travel lover like me they will love its speed and it is very comfortable to ride.I think for long trips and casual ride pulsar 150 is excellent.And the last thing its looking it's looking is simply best for attract someone and red colour is gorgeous.,6 years ago,4,4,5,3,4,Daily Commute,< 5000 kms,0-5000 kms,6 months-1 yr,"Tubeless tyre and gear oil have to use.
And regularly have to check brakes and others parts.",1,0
